[2019-08-20T00:15:20.020Z] [org.springframework.boot.StartupInfoLogger] [main] [50] [INFO ] Starting PaymentsApplication on n1033010 with PID 14704 (C:\Desarrollo\workspace_intellij\payments\target\classes started by p044125 in C:\Desarrollo\workspace_intellij\payments)
[2019-08-20T00:15:21.021Z] [org.springframework.boot.SpringApplication] [main] [647] [INFO ] No active profile set, falling back to default profiles: default
[2019-08-20T00:15:22.022Z] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] [main] [126] [INFO ] Bootstrapping Spring Data repositories in DEFAULT mode.
[2019-08-20T00:15:22.022Z] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] [main] [182] [INFO ] Finished Spring Data repository scanning in 100ms. Found 2 repository interfaces.
[2019-08-20T00:15:23.023Z] [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] [main] [330] [INFO ] Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$848cee2a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2019-08-20T00:15:23.023Z] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] [main] [90] [INFO ] Tomcat initialized with port(s): 8080 (http)
[2019-08-20T00:15:23.023Z] [org.apache.juli.logging.DirectJDKLog] [main] [173] [INFO ] Initializing ProtocolHandler ["http-nio-8080"]
[2019-08-20T00:15:23.023Z] [org.apache.juli.logging.DirectJDKLog] [main] [173] [INFO ] Starting service [Tomcat]
[2019-08-20T00:15:23.023Z] [org.apache.juli.logging.DirectJDKLog] [main] [173] [INFO ] Starting Servlet engine: [Apache Tomcat/9.0.22]
[2019-08-20T00:15:23.023Z] [org.apache.juli.logging.DirectJDKLog] [main] [173] [INFO ] Initializing Spring embedded WebApplicationContext
[2019-08-20T00:15:23.023Z] [org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext] [main] [284] [INFO ] Root WebApplicationContext: initialization completed in 2773 ms
[2019-08-20T00:15:24.024Z] [com.zaxxer.hikari.HikariDataSource] [main] [110] [INFO ] HikariPool-1 - Starting...
[2019-08-20T00:15:25.025Z] [com.zaxxer.hikari.HikariDataSource] [main] [123] [INFO ] HikariPool-1 - Start completed.
[2019-08-20T00:15:25.025Z] [org.hibernate.jpa.internal.util.LogHelper] [main] [31] [INFO ] HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
[2019-08-20T00:15:25.025Z] [org.hibernate.Version] [main] [46] [INFO ] HHH000412: Hibernate Core {5.3.10.Final}
[2019-08-20T00:15:25.025Z] [org.hibernate.cfg.Environment] [main] [213] [INFO ] HHH000206: hibernate.properties not found
[2019-08-20T00:15:25.025Z] [org.hibernate.annotations.common.reflection.java.JavaReflectionManager] [main] [49] [INFO ] HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
[2019-08-20T00:15:26.026Z] [org.hibernate.dialect.Dialect] [main] [157] [INFO ] HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
[2019-08-20T00:15:27.027Z] [org.springframework.orm.jpa.AbstractEntityManagerFactoryBean] [main] [415] [INFO ] Initialized JPA EntityManagerFactory for persistence unit 'default'
[2019-08-20T00:15:27.027Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [43] [INFO ] Creating filter chain: Ant [pattern='/resources/**'], []
[2019-08-20T00:15:27.027Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [43] [INFO ] Creating filter chain: Ant [pattern='/static/**'], []
[2019-08-20T00:15:27.027Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [43] [INFO ] Creating filter chain: Ant [pattern='/css/**'], []
[2019-08-20T00:15:27.027Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [43] [INFO ] Creating filter chain: Ant [pattern='/js/**'], []
[2019-08-20T00:15:27.027Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [43] [INFO ] Creating filter chain: Ant [pattern='/images/**'], []
[2019-08-20T00:15:28.028Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [43] [INFO ] Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@70d3cdbf, org.springframework.security.web.context.SecurityContextPersistenceFilter@1a785fd5, org.springframework.security.web.header.HeaderWriterFilter@1182413a, org.springframework.security.web.authentication.logout.LogoutFilter@650a1aff, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4b4927e5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@362a561e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@ad0bb4e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@72a7aa4f, org.springframework.security.web.session.SessionManagementFilter@5b14f482, org.springframework.security.web.access.ExceptionTranslationFilter@7ead1d80, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@33751d49]
[2019-08-20T00:15:28.028Z] [org.springframework.scheduling.concurrent.ExecutorConfigurationSupport] [main] [171] [INFO ] Initializing ExecutorService 'applicationTaskExecutor'
[2019-08-20T00:15:28.028Z] [org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration] [main] [226] [WARN ] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2019-08-20T00:15:28.028Z] [org.apache.juli.logging.DirectJDKLog] [main] [173] [INFO ] Starting ProtocolHandler ["http-nio-8080"]
[2019-08-20T00:15:28.028Z] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] [main] [202] [INFO ] Tomcat started on port(s): 8080 (http) with context path ''
[2019-08-20T00:15:28.028Z] [org.springframework.boot.StartupInfoLogger] [main] [59] [INFO ] Started PaymentsApplication in 8.586 seconds (JVM running for 10.902)
[2019-08-20T00:15:28.028Z] [ar.tesis.payments.PaymentsApplication] [main] [13] [INFO ] testing logging with lombok
[2019-08-20T00:15:28.028Z] [ar.tesis.payments.PaymentsApplication] [main] [14] [ERROR] testing error with lombok
[2019-08-20T00:20:54.054Z] [org.springframework.boot.StartupInfoLogger] [main] [50] [INFO ] Starting PaymentsApplication on n1033010 with PID 8960 (C:\Desarrollo\workspace_intellij\payments\target\classes started by p044125 in C:\Desarrollo\workspace_intellij\payments)
[2019-08-20T00:20:54.054Z] [org.springframework.boot.SpringApplication] [main] [647] [INFO ] No active profile set, falling back to default profiles: default
[2019-08-20T00:20:55.055Z] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] [main] [126] [INFO ] Bootstrapping Spring Data repositories in DEFAULT mode.
[2019-08-20T00:20:55.055Z] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] [main] [182] [INFO ] Finished Spring Data repository scanning in 124ms. Found 2 repository interfaces.
[2019-08-20T00:20:56.056Z] [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] [main] [330] [INFO ] Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$5fd34788] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2019-08-20T00:20:56.056Z] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] [main] [90] [INFO ] Tomcat initialized with port(s): 8080 (http)
[2019-08-20T00:20:56.056Z] [org.apache.juli.logging.DirectJDKLog] [main] [173] [INFO ] Initializing ProtocolHandler ["http-nio-8080"]
[2019-08-20T00:20:56.056Z] [org.apache.juli.logging.DirectJDKLog] [main] [173] [INFO ] Starting service [Tomcat]
[2019-08-20T00:20:56.056Z] [org.apache.juli.logging.DirectJDKLog] [main] [173] [INFO ] Starting Servlet engine: [Apache Tomcat/9.0.22]
[2019-08-20T00:20:57.057Z] [org.apache.juli.logging.DirectJDKLog] [main] [173] [INFO ] Initializing Spring embedded WebApplicationContext
[2019-08-20T00:20:57.057Z] [org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext] [main] [284] [INFO ] Root WebApplicationContext: initialization completed in 2890 ms
[2019-08-20T00:20:57.057Z] [com.zaxxer.hikari.HikariDataSource] [main] [110] [INFO ] HikariPool-1 - Starting...
[2019-08-20T00:20:58.058Z] [com.zaxxer.hikari.HikariDataSource] [main] [123] [INFO ] HikariPool-1 - Start completed.
[2019-08-20T00:20:58.058Z] [org.hibernate.jpa.internal.util.LogHelper] [main] [31] [INFO ] HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
[2019-08-20T00:20:58.058Z] [org.hibernate.Version] [main] [46] [INFO ] HHH000412: Hibernate Core {5.3.10.Final}
[2019-08-20T00:20:58.058Z] [org.hibernate.cfg.Environment] [main] [213] [INFO ] HHH000206: hibernate.properties not found
[2019-08-20T00:20:58.058Z] [org.hibernate.annotations.common.reflection.java.JavaReflectionManager] [main] [49] [INFO ] HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
[2019-08-20T00:20:59.059Z] [org.hibernate.dialect.Dialect] [main] [157] [INFO ] HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
[2019-08-20T00:21:00.000Z] [org.springframework.orm.jpa.AbstractEntityManagerFactoryBean] [main] [415] [INFO ] Initialized JPA EntityManagerFactory for persistence unit 'default'
[2019-08-20T00:21:01.001Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [43] [INFO ] Creating filter chain: Ant [pattern='/resources/**'], []
[2019-08-20T00:21:01.001Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [43] [INFO ] Creating filter chain: Ant [pattern='/static/**'], []
[2019-08-20T00:21:01.001Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [43] [INFO ] Creating filter chain: Ant [pattern='/css/**'], []
[2019-08-20T00:21:01.001Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [43] [INFO ] Creating filter chain: Ant [pattern='/js/**'], []
[2019-08-20T00:21:01.001Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [43] [INFO ] Creating filter chain: Ant [pattern='/images/**'], []
[2019-08-20T00:21:01.001Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [43] [INFO ] Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6c5747db, org.springframework.security.web.context.SecurityContextPersistenceFilter@3120495d, org.springframework.security.web.header.HeaderWriterFilter@4e4f4092, org.springframework.security.web.authentication.logout.LogoutFilter@36211bbc, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@52d96367, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@b75b890, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7a1371, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@750cd36d, org.springframework.security.web.session.SessionManagementFilter@4416e18d, org.springframework.security.web.access.ExceptionTranslationFilter@1fc0d9b4, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5e37fb82]
[2019-08-20T00:21:01.001Z] [org.springframework.scheduling.concurrent.ExecutorConfigurationSupport] [main] [171] [INFO ] Initializing ExecutorService 'applicationTaskExecutor'
[2019-08-20T00:21:01.001Z] [org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration] [main] [226] [WARN ] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2019-08-20T00:21:02.002Z] [org.apache.juli.logging.DirectJDKLog] [main] [173] [INFO ] Starting ProtocolHandler ["http-nio-8080"]
[2019-08-20T00:21:02.002Z] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] [main] [202] [INFO ] Tomcat started on port(s): 8080 (http) with context path ''
[2019-08-20T00:21:02.002Z] [org.springframework.boot.StartupInfoLogger] [main] [59] [INFO ] Started PaymentsApplication in 8.743 seconds (JVM running for 10.717)
[2019-08-20T00:21:02.002Z] [ar.tesis.payments.PaymentsApplication] [main] [13] [INFO ] testing logging with lombok
[2019-08-20T00:21:02.002Z] [ar.tesis.payments.PaymentsApplication] [main] [14] [ERROR] testing error with lombok
[2019-08-20T00:23:35.035Z] [org.springframework.boot.StartupInfoLogger] [main] [34m[0;39m[50] [INFO ] Starting PaymentsApplication on n1033010 with PID 12456 (C:\Desarrollo\workspace_intellij\payments\target\classes started by p044125 in C:\Desarrollo\workspace_intellij\payments)
[2019-08-20T00:23:35.035Z] [org.springframework.boot.SpringApplication] [main] [34m[0;39m[647] [INFO ] No active profile set, falling back to default profiles: default
[2019-08-20T00:23:37.037Z] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] [main] [34m[0;39m[126] [INFO ] Bootstrapping Spring Data repositories in DEFAULT mode.
[2019-08-20T00:23:37.037Z] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] [main] [34m[0;39m[182] [INFO ] Finished Spring Data repository scanning in 124ms. Found 2 repository interfaces.
[2019-08-20T00:23:38.038Z] [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] [main] [34m[0;39m[330] [INFO ] Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$ac306c5a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2019-08-20T00:23:38.038Z] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] [main] [34m[0;39m[90] [INFO ] Tomcat initialized with port(s): 8080 (http)
[2019-08-20T00:23:38.038Z] [org.apache.juli.logging.DirectJDKLog] [main] [34m[0;39m[173] [INFO ] Initializing ProtocolHandler ["http-nio-8080"]
[2019-08-20T00:23:38.038Z] [org.apache.juli.logging.DirectJDKLog] [main] [34m[0;39m[173] [INFO ] Starting service [Tomcat]
[2019-08-20T00:23:38.038Z] [org.apache.juli.logging.DirectJDKLog] [main] [34m[0;39m[173] [INFO ] Starting Servlet engine: [Apache Tomcat/9.0.22]
[2019-08-20T00:23:38.038Z] [org.apache.juli.logging.DirectJDKLog] [main] [34m[0;39m[173] [INFO ] Initializing Spring embedded WebApplicationContext
[2019-08-20T00:23:38.038Z] [org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext] [main] [34m[0;39m[284] [INFO ] Root WebApplicationContext: initialization completed in 2869 ms
[2019-08-20T00:23:39.039Z] [com.zaxxer.hikari.HikariDataSource] [main] [34m[0;39m[110] [INFO ] HikariPool-1 - Starting...
[2019-08-20T00:23:40.040Z] [com.zaxxer.hikari.HikariDataSource] [main] [34m[0;39m[123] [INFO ] HikariPool-1 - Start completed.
[2019-08-20T00:23:40.040Z] [org.hibernate.jpa.internal.util.LogHelper] [main] [34m[0;39m[31] [INFO ] HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
[2019-08-20T00:23:40.040Z] [org.hibernate.Version] [main] [34m[0;39m[46] [INFO ] HHH000412: Hibernate Core {5.3.10.Final}
[2019-08-20T00:23:40.040Z] [org.hibernate.cfg.Environment] [main] [34m[0;39m[213] [INFO ] HHH000206: hibernate.properties not found
[2019-08-20T00:23:40.040Z] [org.hibernate.annotations.common.reflection.java.JavaReflectionManager] [main] [34m[0;39m[49] [INFO ] HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
[2019-08-20T00:23:40.040Z] [org.hibernate.dialect.Dialect] [main] [34m[0;39m[157] [INFO ] HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
[2019-08-20T00:23:41.041Z] [org.springframework.orm.jpa.AbstractEntityManagerFactoryBean] [main] [34m[0;39m[415] [INFO ] Initialized JPA EntityManagerFactory for persistence unit 'default'
[2019-08-20T00:23:42.042Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [34m[0;39m[43] [INFO ] Creating filter chain: Ant [pattern='/resources/**'], []
[2019-08-20T00:23:42.042Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [34m[0;39m[43] [INFO ] Creating filter chain: Ant [pattern='/static/**'], []
[2019-08-20T00:23:42.042Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [34m[0;39m[43] [INFO ] Creating filter chain: Ant [pattern='/css/**'], []
[2019-08-20T00:23:42.042Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [34m[0;39m[43] [INFO ] Creating filter chain: Ant [pattern='/js/**'], []
[2019-08-20T00:23:42.042Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [34m[0;39m[43] [INFO ] Creating filter chain: Ant [pattern='/images/**'], []
[2019-08-20T00:23:42.042Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [34m[0;39m[43] [INFO ] Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@37d0d373, org.springframework.security.web.context.SecurityContextPersistenceFilter@71b26880, org.springframework.security.web.header.HeaderWriterFilter@591be8aa, org.springframework.security.web.authentication.logout.LogoutFilter@7ad889be, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1ffd0114, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@10bf1ec9, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4b4927e5, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4052913c, org.springframework.security.web.session.SessionManagementFilter@7f1f60a0, org.springframework.security.web.access.ExceptionTranslationFilter@5e98032e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@566fe83c]
[2019-08-20T00:23:43.043Z] [org.springframework.scheduling.concurrent.ExecutorConfigurationSupport] [main] [34m[0;39m[171] [INFO ] Initializing ExecutorService 'applicationTaskExecutor'
[2019-08-20T00:23:43.043Z] [org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration] [main] [31m[0;39m[226] [WARN ] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2019-08-20T00:23:43.043Z] [org.apache.juli.logging.DirectJDKLog] [main] [34m[0;39m[173] [INFO ] Starting ProtocolHandler ["http-nio-8080"]
[2019-08-20T00:23:43.043Z] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] [main] [34m[0;39m[202] [INFO ] Tomcat started on port(s): 8080 (http) with context path ''
[2019-08-20T00:23:43.043Z] [org.springframework.boot.StartupInfoLogger] [main] [34m[0;39m[59] [INFO ] Started PaymentsApplication in 8.186 seconds (JVM running for 9.883)
[2019-08-20T00:23:43.043Z] [ar.tesis.payments.PaymentsApplication] [main] [34m[0;39m[13] [INFO ] testing logging with lombok
[2019-08-20T00:23:43.043Z] [ar.tesis.payments.PaymentsApplication] [main] [1;31m[0;39m[14] [ERROR] testing error with lombok
[2019-08-20T00:25:23.023Z] [org.springframework.boot.StartupInfoLogger] [main] [34m[0;39m[50] [INFO ] Starting PaymentsApplication on n1033010 with PID 2228 (C:\Desarrollo\workspace_intellij\payments\target\classes started by p044125 in C:\Desarrollo\workspace_intellij\payments)
[2019-08-20T00:25:23.023Z] [org.springframework.boot.SpringApplication] [main] [34m[0;39m[647] [INFO ] No active profile set, falling back to default profiles: default
[2019-08-20T00:25:24.024Z] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] [main] [34m[0;39m[126] [INFO ] Bootstrapping Spring Data repositories in DEFAULT mode.
[2019-08-20T00:25:24.024Z] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] [main] [34m[0;39m[182] [INFO ] Finished Spring Data repository scanning in 136ms. Found 2 repository interfaces.
[2019-08-20T00:25:25.025Z] [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] [main] [34m[0;39m[330] [INFO ] Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$1bc167ce] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2019-08-20T00:25:25.025Z] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] [main] [34m[0;39m[90] [INFO ] Tomcat initialized with port(s): 8080 (http)
[2019-08-20T00:25:26.026Z] [org.apache.juli.logging.DirectJDKLog] [main] [34m[0;39m[173] [INFO ] Initializing ProtocolHandler ["http-nio-8080"]
[2019-08-20T00:25:26.026Z] [org.apache.juli.logging.DirectJDKLog] [main] [34m[0;39m[173] [INFO ] Starting service [Tomcat]
[2019-08-20T00:25:26.026Z] [org.apache.juli.logging.DirectJDKLog] [main] [34m[0;39m[173] [INFO ] Starting Servlet engine: [Apache Tomcat/9.0.22]
[2019-08-20T00:25:26.026Z] [org.apache.juli.logging.DirectJDKLog] [main] [34m[0;39m[173] [INFO ] Initializing Spring embedded WebApplicationContext
[2019-08-20T00:25:26.026Z] [org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext] [main] [34m[0;39m[284] [INFO ] Root WebApplicationContext: initialization completed in 2865 ms
[2019-08-20T00:25:26.026Z] [com.zaxxer.hikari.HikariDataSource] [main] [34m[0;39m[110] [INFO ] HikariPool-1 - Starting...
[2019-08-20T00:25:27.027Z] [com.zaxxer.hikari.HikariDataSource] [main] [34m[0;39m[123] [INFO ] HikariPool-1 - Start completed.
[2019-08-20T00:25:27.027Z] [org.hibernate.jpa.internal.util.LogHelper] [main] [34m[0;39m[31] [INFO ] HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
[2019-08-20T00:25:27.027Z] [org.hibernate.Version] [main] [34m[0;39m[46] [INFO ] HHH000412: Hibernate Core {5.3.10.Final}
[2019-08-20T00:25:27.027Z] [org.hibernate.cfg.Environment] [main] [34m[0;39m[213] [INFO ] HHH000206: hibernate.properties not found
[2019-08-20T00:25:28.028Z] [org.hibernate.annotations.common.reflection.java.JavaReflectionManager] [main] [34m[0;39m[49] [INFO ] HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
[2019-08-20T00:25:28.028Z] [org.hibernate.dialect.Dialect] [main] [34m[0;39m[157] [INFO ] HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
[2019-08-20T00:25:29.029Z] [org.springframework.orm.jpa.AbstractEntityManagerFactoryBean] [main] [34m[0;39m[415] [INFO ] Initialized JPA EntityManagerFactory for persistence unit 'default'
[2019-08-20T00:25:30.030Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [34m[0;39m[43] [INFO ] Creating filter chain: Ant [pattern='/resources/**'], []
[2019-08-20T00:25:30.030Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [34m[0;39m[43] [INFO ] Creating filter chain: Ant [pattern='/static/**'], []
[2019-08-20T00:25:30.030Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [34m[0;39m[43] [INFO ] Creating filter chain: Ant [pattern='/css/**'], []
[2019-08-20T00:25:30.030Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [34m[0;39m[43] [INFO ] Creating filter chain: Ant [pattern='/js/**'], []
[2019-08-20T00:25:30.030Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [34m[0;39m[43] [INFO ] Creating filter chain: Ant [pattern='/images/**'], []
[2019-08-20T00:25:30.030Z] [org.springframework.security.web.DefaultSecurityFilterChain] [main] [34m[0;39m[43] [INFO ] Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3302035b, org.springframework.security.web.context.SecurityContextPersistenceFilter@5dfc2a4, org.springframework.security.web.header.HeaderWriterFilter@42107318, org.springframework.security.web.authentication.logout.LogoutFilter@49038f97, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@74b1838, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@781c2497, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1b3a9ef4, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6c5747db, org.springframework.security.web.session.SessionManagementFilter@5d829ef0, org.springframework.security.web.access.ExceptionTranslationFilter@2b170932, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5c5a91b4]
[2019-08-20T00:25:30.030Z] [org.springframework.scheduling.concurrent.ExecutorConfigurationSupport] [main] [34m[0;39m[171] [INFO ] Initializing ExecutorService 'applicationTaskExecutor'
[2019-08-20T00:25:30.030Z] [org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration] [main] [31m[0;39m[226] [WARN ] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2019-08-20T00:25:30.030Z] [org.apache.juli.logging.DirectJDKLog] [main] [34m[0;39m[173] [INFO ] Starting ProtocolHandler ["http-nio-8080"]
